team,score,xg,penalty,manager,captain,goals,Attendance,Venue,Officials,Date,Referee,Notes,Round,Host,Year,home,win
Netherlands,2,NA,NA,Louis van Gaal,NA,Wesley Sneijder · 88|Klaas-Jan Huntelaar (P) · 90+4,58817,"Estádio Castelão, Fortaleza",Pedro Proença (Referee) · Bertino Miranda (AR1) · José Trigo (AR2) · Carlos Vera (4th),2014-06-29,Pedro Proença,NA,Round of 16,Brazil,2014,Y,1
Costa Rica,1,NA,5,Jorge Luis Pinto,NA,Bryan Ruiz · 52|Óscar Duarte · 66,41242,"Itaipava Arena Pernambuco, Recife",Benjamin Williams (Referee) · Matthew Cream (AR1) · Hakan Anaz (AR2) · Nawaf Shukralla (4th),2014-06-29,Benjamin Williams,Costa Rica won on penalty kicks following extra time,Round of 16,Brazil,2014,Y,0.5
Brazil,1,NA,3,Luiz Felipe Scolari,NA,David Luiz · 18,57714,"Estádio Governador Magalhães Pinto, Belo Horizonte",Howard Webb (Referee) · Michael Mullarkey (AR1) · Darren Cann (AR2) · Felix Brych (4th),2014-06-28,Howard Webb,Brazil won on penalty kicks following extra time,Round of 16,Brazil,2014,Y,0.5
Colombia,2,NA,NA,José Pekerman,NA,James Rodríguez · 29|James Rodríguez · 50,73804,"Estadio Jornalista Mário Filho, Rio de Janeiro",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Svein Oddvar Moen (4th),2014-06-28,Björn Kuipers,NA,Round of 16,Brazil,2014,Y,1
United States,0,NA,NA,Jürgen Klinsmann,NA,NA,41876,"Itaipava Arena Pernambuco, Recife",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Alioum Alioum (4th),2014-06-26,Ravshan Irmatov,NA,Group stage,Brazil,2014,Y,0
Portugal,2,NA,NA,Paulo Bento,NA,John Boye (OG) · 31|Cristiano Ronaldo · 80,67540,"Estádio Nacional de Brasília, Brasília",Nawaf Shukralla (Referee) · Yaser Tulefat (AR1) · Ebrahim Saleh (AR2) · Wilmar Roldán (4th),2014-06-26,Nawaf Shukralla,NA,Group stage,Brazil,2014,Y,1
Korea Republic,0,NA,NA,Hong Myung-bo,NA,NA,61397,"Arena Corinthians, São Paulo",Benjamin Williams (Referee) · Matthew Cream (AR1) · Hakan Anaz (AR2) · Víctor Carrillo (4th),2014-06-26,Benjamin Williams,NA,Group stage,Brazil,2014,Y,0
Algeria,1,NA,NA,Vahid Halilhodžić,NA,Islam Slimani · 60,39311,"Estádio Joaquim Américo Guimarães, Curitiba",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Joel Aguilar (4th),2014-06-26,Cüneyt Çakιr,NA,Group stage,Brazil,2014,Y,0.5
Bosnia and Herzegovina,3,NA,NA,Safet Sušić,NA,Edin Džeko · 23|Miralem Pjanić · 59|Avdija Vršajević · 83,48011,"Itaipava Arena Fonte Nova, Salvador",Carlos Velasco (Referee) · Roberto Alonso (AR1) · Juan Carlos Yuste (AR2) · Enrique Osses (4th),2014-06-25,Carlos Velasco,NA,Group stage,Brazil,2014,Y,1
Nigeria,2,NA,NA,Stephen Keshi,NA,Ahmed Musa · 4|Ahmed Musa · 47,43285,"Estádio José Pinheiro Borba, Porto Alegre",Nicola Rizzoli (Referee) · Renato Faverani (AR1) · Andrea Stefani (AR2) · Svein Oddvar Moen (4th),2014-06-25,Nicola Rizzoli,NA,Group stage,Brazil,2014,Y,0
Honduras,0,NA,NA,Luis Suárez,NA,NA,40322,"Arena da Amazônia, Manaus",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Milorad Mažić (4th),2014-06-25,Néstor Pitana,NA,Group stage,Brazil,2014,Y,0
Ecuador,0,NA,NA,Reinaldo Rueda,NA,Antonio Valencia · 50,73749,"Estadio Jornalista Mário Filho, Rio de Janeiro",Noumandiez Doué (Referee) · Songuifolo Yéo (AR1) · Jean-Claude Birumushahu (AR2) · Björn Kuipers (4th),2014-06-25,Noumandiez Doué,NA,Group stage,Brazil,2014,Y,0.5
Costa Rica,0,NA,NA,Jorge Luis Pinto,NA,NA,57823,"Estádio Governador Magalhães Pinto, Belo Horizonte",Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Alireza Faghani (4th),2014-06-24,Djamel Haïmoudi,NA,Group stage,Brazil,2014,Y,0.5
Italy,0,NA,NA,Cesare Prandelli,NA,Claudio Marchisio · 59,39706,"Arena das Dunas, Natal",Marco Antonio Rodríguez (Referee) · Marvin Torrentera (AR1) · Marcos Quintero (AR2) · Mark Geiger (4th),2014-06-24,Marco Antonio Rodríguez,NA,Group stage,Brazil,2014,Y,0
Japan,1,NA,NA,Alberto Zaccheroni,NA,Shinji Okazaki · 45+1,40340,"Arena Pantanal, Cuiabá",Pedro Proença (Referee) · Bertino Miranda (AR1) · José Trigo (AR2) · Roberto Moreno (4th),2014-06-24,Pedro Proença,NA,Group stage,Brazil,2014,Y,0
Greece,2,NA,NA,Fernando Santos,NA,Andreas Samaris · 42|Georgios Samaras (P) · 90+3,59095,"Estádio Castelão, Fortaleza",Carlos Vera (Referee) · Christian Lescano (AR1) · Byron Romero (AR2) · Sandro Ricci (4th),2014-06-24,Carlos Vera,NA,Group stage,Brazil,2014,Y,1
Australia,0,NA,NA,Ange Postecoglou,NA,NA,39375,"Estádio Joaquim Américo Guimarães, Curitiba",Nawaf Shukralla (Referee) · Yaser Tulefat (AR1) · Ebrahim Saleh (AR2) · Norbert Hauata (4th),2014-06-23,Nawaf Shukralla,NA,Group stage,Brazil,2014,Y,0
Netherlands,2,NA,NA,Louis van Gaal,NA,Leroy Fer · 77|Memphis Depay · 90+2,62996,"Arena Corinthians, São Paulo",Bakary Papa Gassama (Referee) · Evarist Menkouande (AR1) · Félicien Kabanda (AR2) · Joel Aguilar (4th),2014-06-23,Bakary Papa Gassama,NA,Group stage,Brazil,2014,Y,1
Croatia,1,NA,NA,Niko Kovač,NA,Ivan Perišić · 87|Ante Rebić · 89,41212,"Itaipava Arena Pernambuco, Recife",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Alioum Alioum (4th),2014-06-23,Ravshan Irmatov,NA,Group stage,Brazil,2014,Y,0
Cameroon,1,NA,NA,Volker Finke,NA,Joël Matip · 26,69112,"Estádio Nacional de Brasília, Brasília",Jonas Eriksson (Referee) · Mathias Klasenius (AR1) · Daniel Wärnmark (AR2) · Svein Oddvar Moen (4th),2014-06-23,Jonas Eriksson,NA,Group stage,Brazil,2014,Y,0
Belgium,1,NA,NA,Marc Wilmots,NA,Divock Origi · 88,73819,"Estadio Jornalista Mário Filho, Rio de Janeiro",Felix Brych (Referee) · Mark Borsch (AR1) · Stefan Lupp (AR2) · Carlos Vera (4th),2014-06-22,Felix Brych,NA,Group stage,Brazil,2014,Y,1
Korea Republic,2,NA,NA,Hong Myung-bo,NA,Son Heung-min · 50|Koo Ja-cheol · 72,42732,"Estádio José Pinheiro Borba, Porto Alegre",Wilmar Roldán (Referee) · Eduardo Díaz (AR1) · Christian Lescano (AR2) · Alireza Faghani (4th),2014-06-22,Wilmar Roldán,NA,Group stage,Brazil,2014,Y,0
United States,2,NA,NA,Jürgen Klinsmann,NA,Jermaine Jones · 64|Clint Dempsey · 81,40123,"Arena da Amazônia, Manaus",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Walter López (4th),2014-06-22,Néstor Pitana,NA,Group stage,Brazil,2014,Y,0.5
Argentina,1,NA,NA,Alejandro Sabella,NA,Lionel Messi · 90+1,57698,"Estádio Governador Magalhães Pinto, Belo Horizonte",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Norbert Hauata (4th),2014-06-21,Milorad Mažić,NA,Group stage,Brazil,2014,Y,1
Germany,2,NA,NA,Joachim Löw,NA,Mario Götze · 51|Miroslav Klose · 71,59621,"Estádio Castelão, Fortaleza",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Víctor Carrillo (4th),2014-06-21,Sandro Ricci,NA,Group stage,Brazil,2014,Y,0.5
Nigeria,1,NA,NA,Stephen Keshi,NA,Peter Odemwingie · 29,40499,"Arena Pantanal, Cuiabá",Peter O'Leary (Referee) · Jan-Hendrik Hintz (AR1) · Mark Rule (AR2) · Roberto Moreno (4th),2014-06-21,Peter O'Leary,NA,Group stage,Brazil,2014,Y,1
Italy,0,NA,NA,Cesare Prandelli,NA,NA,40285,"Itaipava Arena Pernambuco, Recife",Enrique Osses (Referee) · Carlos Astroza (AR1) · Sergio Román (AR2) · Alioum Alioum (4th),2014-06-20,Enrique Osses,NA,Group stage,Brazil,2014,Y,0
Switzerland,2,NA,NA,Ottmar Hitzfeld,NA,Blerim Džemaili · 81|Granit Xhaka · 87,51003,"Itaipava Arena Fonte Nova, Salvador",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Svein Oddvar Moen (4th),2014-06-20,Björn Kuipers,NA,Group stage,Brazil,2014,Y,0
Honduras,1,NA,NA,Luis Suárez,NA,Carlo Costly · 31,39224,"Estádio Joaquim Américo Guimarães, Curitiba",Benjamin Williams (Referee) · Matthew Cream (AR1) · Hakan Anaz (AR2) · Yuichi Nishimura (4th),2014-06-20,Benjamin Williams,NA,Group stage,Brazil,2014,Y,0
Colombia,2,NA,NA,José Pekerman,NA,James Rodríguez · 64|Juan Quintero · 70,68748,"Estádio Nacional de Brasília, Brasília",Howard Webb (Referee) · Michael Mullarkey (AR1) · Darren Cann (AR2) · Víctor Carrillo (4th),2014-06-19,Howard Webb,NA,Group stage,Brazil,2014,Y,1
Uruguay,2,NA,NA,Óscar Tabárez,NA,Luis Suárez · 39|Luis Suárez · 85,62575,"Arena Corinthians, São Paulo",Carlos Velasco (Referee) · Roberto Alonso (AR1) · Juan Carlos Yuste (AR2) · Alireza Faghani (4th),2014-06-19,Carlos Velasco,NA,Group stage,Brazil,2014,Y,1
Japan,0,NA,NA,Alberto Zaccheroni,NA,NA,39485,"Arena das Dunas, Natal",Joel Aguilar (Referee) · William Torres (AR1) · Juan Zumba (AR2) · Norbert Hauata (4th),2014-06-19,Joel Aguilar,NA,Group stage,Brazil,2014,Y,0.5
Australia,2,NA,NA,Ange Postecoglou,NA,Tim Cahill · 21|Mile Jedinak (P) · 54,42877,"Estádio José Pinheiro Borba, Porto Alegre",Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Bakary Papa Gassama (4th),2014-06-18,Djamel Haïmoudi,NA,Group stage,Brazil,2014,Y,0
Spain,0,NA,NA,Del Bosque,NA,NA,74101,"Estadio Jornalista Mário Filho, Rio de Janeiro",Mark Geiger (Referee) · Sean Hurd (AR1) · Joe Fletcher (AR2) · Nawaf Shukralla (4th),2014-06-18,Mark Geiger,NA,Group stage,Brazil,2014,Y,0
Cameroon,0,NA,NA,Volker Finke,NA,Alex Song · 40,39982,"Arena da Amazônia, Manaus",Pedro Proença (Referee) · Bertino Miranda (AR1) · José Trigo (AR2) · Walter López (4th),2014-06-18,Pedro Proença,NA,Group stage,Brazil,2014,Y,0
Belgium,2,NA,NA,Marc Wilmots,NA,Marouane Fellaini · 70|Dries Mertens · 80,56800,"Estádio Governador Magalhães Pinto, Belo Horizonte",Marcos Quintero (Referee) · Marvin Torrentera (AR1) · Marcos Quintero (AR2) · Alireza Faghani (4th),2014-06-17,Marcos Quintero,NA,Group stage,Brazil,2014,Y,1
Brazil,0,NA,NA,Luiz Felipe Scolari,NA,NA,60342,"Estádio Castelão, Fortaleza",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Svein Oddvar Moen (4th),2014-06-17,Cüneyt Çakιr,NA,Group stage,Brazil,2014,Y,0.5
Russia,1,NA,NA,Fabio Capello,NA,Aleksandr Kerzhakov · 74,37603,"Arena Pantanal, Cuiabá",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Roberto Moreno (4th),2014-06-17,Néstor Pitana,NA,Group stage,Brazil,2014,Y,0.5
Germany,4,NA,NA,Joachim Löw,NA,Thomas Müller (P) · 12|Mats Hummels · 32|Thomas Müller · 45+1|Thomas Müller · 78,51081,"Itaipava Arena Fonte Nova, Salvador",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Alioum Alioum (4th),2014-06-16,Milorad Mažić,NA,Group stage,Brazil,2014,Y,1
IR Iran,0,NA,NA,Carlos Queiroz,NA,NA,39081,"Estádio Joaquim Américo Guimarães, Curitiba",Carlos Vera (Referee) · Christian Lescano (AR1) · Byron Romero (AR2) · Wilmar Roldán (4th),2014-06-16,Carlos Vera,NA,Group stage,Brazil,2014,Y,0.5
Ghana,1,NA,NA,Kwesi Appiah,NA,André Ayew · 82,39760,"Arena das Dunas, Natal",Jonas Eriksson (Referee) · Mathias Klasenius (AR1) · Daniel Wärnmark (AR2) · Norbert Hauata (4th),2014-06-16,Jonas Eriksson,NA,Group stage,Brazil,2014,Y,0
Switzerland,2,NA,NA,Ottmar Hitzfeld,NA,Admir Mehmedi · 48|Haris Seferović · 90+3,68351,"Estádio Nacional de Brasília, Brasília",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Svein Oddvar Moen (4th),2014-06-15,Ravshan Irmatov,NA,Group stage,Brazil,2014,Y,1
France,3,NA,NA,Didier Deschamps,NA,Karim Benzema (P) · 45|Noel Valladares (OG) · 48|Karim Benzema · 72,43012,"Estádio José Pinheiro Borba, Porto Alegre",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Peter O'Leary (4th),2014-06-15,Sandro Ricci,NA,Group stage,Brazil,2014,Y,1
Argentina,2,NA,NA,Alejandro Sabella,NA,Sead Kolašinac (OG) · 3|Lionel Messi · 65,74738,"Estadio Jornalista Mário Filho, Rio de Janeiro",Joel Aguilar (Referee) · William Torres (AR1) · Juan Zumba (AR2) · Djamel Haïmoudi (4th),2014-06-15,Joel Aguilar,NA,Group stage,Brazil,2014,Y,1
Colombia,3,NA,NA,José Pekerman,NA,Pablo Armero · 6|Teófilo Gutiérrez · 58|James Rodríguez · 90+3,57174,"Estádio Governador Magalhães Pinto, Belo Horizonte",Mark Geiger (Referee) · Sean Hurd (AR1) · Joe Fletcher (AR2) · Alireza Faghani (4th),2014-06-14,Mark Geiger,NA,Group stage,Brazil,2014,Y,1
Uruguay,1,NA,NA,Óscar Tabárez,NA,Edinson Cavani (P) · 24|Maxi Pereira · 90+4,58679,"Estádio Castelão, Fortaleza",Felix Brych (Referee) · Mark Borsch (AR1) · Stefan Lupp (AR2) · Víctor Carrillo (4th),2014-06-14,Felix Brych,NA,Group stage,Brazil,2014,Y,0
England,1,NA,NA,Roy Hodgson,NA,Daniel Sturridge · 37,39800,"Arena da Amazônia, Manaus",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Walter López (4th),2014-06-14,Björn Kuipers,NA,Group stage,Brazil,2014,Y,0
Côte d'Ivoire,2,NA,NA,Sabri Lamouchi,NA,Wilfried Bony · 64|Gervinho · 66,40267,"Itaipava Arena Pernambuco, Recife",Enrique Osses (Referee) · Carlos Astroza (AR1) · Sergio Román (AR2) · Alioum Alioum (4th),2014-06-14,Enrique Osses,NA,Group stage,Brazil,2014,Y,1
Mexico,1,NA,NA,Miguel Herrera,NA,Oribe Peralta · 61,39216,"Arena das Dunas, Natal",Wilmar Roldán (Referee) · Humberto Clavijo (AR1) · Eduardo Díaz (AR2) · Norbert Hauata (4th),2014-06-13,Wilmar Roldán,NA,Group stage,Brazil,2014,Y,1
Spain,1,NA,NA,Del Bosque,NA,Xabi Alonso (P) · 27,48173,"Itaipava Arena Fonte Nova, Salvador",Nicola Rizzoli (Referee) · Renato Faverani (AR1) · Andrea Stefani (AR2) · Svein Oddvar Moen (4th),2014-06-13,Nicola Rizzoli,NA,Group stage,Brazil,2014,Y,0
Chile,3,NA,NA,Jorge Sampaoli,NA,Alexis Sánchez · 12|Jorge Valdivia · 14|Jean Beausejour · 90+2,40275,"Arena Pantanal, Cuiabá",Noumandiez Doué (Referee) · Songuifolo Yéo (AR1) · Jean-Claude Birumushahu (AR2) · Roberto Moreno (4th),2014-06-13,Noumandiez Doué,NA,Group stage,Brazil,2014,Y,1
Brazil,3,NA,NA,Luiz Felipe Scolari,NA,Neymar · 29|Neymar (P) · 71|Oscar · 90+1,62103,"Arena Corinthians, São Paulo",Yuichi Nishimura (Referee) · Toru Sagara (AR1) · Toshiyuki Nagi (AR2) · Alireza Faghani (4th),2014-06-12,Yuichi Nishimura,NA,Group stage,Brazil,2014,Y,1
Netherlands,0,NA,NA,Bert van Marwijk,NA,John Heitinga · 109,84490,"Soccer City, Johannesburg",Howard Webb (Referee) · Darren Cann (AR1) · Michael Mullarkey (AR2) · Yuichi Nishimura (4th),2010-07-11,Howard Webb,Required Extra Time,Final,South Africa,2010,Y,0
Uruguay,2,NA,NA,Óscar Tabárez,NA,Edinson Cavani · 28|Diego Forlán · 51,36254,"Nelson Mandela Bay Stadium, Port Elizabeth",NA,2010-07-10,NA,NA,Third-place match,South Africa,2010,Y,0
Germany,0,NA,NA,Joachim Löw,NA,NA,60960,"Moses Mabhida Stadium, Durban",NA,2010-07-07,NA,NA,Semi-finals,South Africa,2010,Y,0
Uruguay,2,NA,NA,Óscar Tabárez,NA,Diego Forlán · 41|Maxi Pereira · 90+2,62479,"Cape Town Stadium, Cape Town",NA,2010-07-06,NA,NA,Semi-finals,South Africa,2010,Y,0
Argentina,0,NA,NA,Diego Maradona,NA,NA,64100,"Cape Town Stadium, Cape Town",NA,2010-07-03,NA,NA,Quarter-finals,South Africa,2010,Y,0
Paraguay,0,NA,NA,Gerardo Martino,NA,NA,55359,"Emirates Airline Park, Johannesburg",NA,2010-07-03,NA,NA,Quarter-finals,South Africa,2010,Y,0
Netherlands,2,NA,NA,Bert van Marwijk,NA,Wesley Sneijder · 53|Wesley Sneijder · 68,40186,"Nelson Mandela Bay Stadium, Port Elizabeth",NA,2010-07-02,NA,NA,Quarter-finals,South Africa,2010,Y,1
Uruguay,1,NA,4,Óscar Tabárez,NA,Diego Forlán · 55|Luis Suárez · 120+1,84017,"Soccer City, Johannesburg",NA,2010-07-02,NA,Uruguay won on penalty kicks following extra time,Quarter-finals,South Africa,2010,Y,0.5
Paraguay,0,NA,5,Gerardo Martino,NA,NA,36742,"Loftus Versfeld Stadium, Pretoria",NA,2010-06-29,NA,Paraguay won on penalty kicks following extra time,Round of 16,South Africa,2010,Y,0.5
Spain,1,NA,NA,Vicente del Bosque,NA,David Villa · 63,62955,"Cape Town Stadium, Cape Town",NA,2010-06-29,NA,NA,Round of 16,South Africa,2010,Y,1
Netherlands,2,NA,NA,Bert van Marwijk,NA,Arjen Robben · 18|Wesley Sneijder · 84,61962,"Moses Mabhida Stadium, Durban",NA,2010-06-28,NA,NA,Round of 16,South Africa,2010,Y,1
Brazil,3,NA,NA,Dunga,NA,Juan · 35|Luís Fabiano · 38|Robinho · 59,54096,"Emirates Airline Park, Johannesburg",NA,2010-06-28,NA,NA,Round of 16,South Africa,2010,Y,1
Germany,4,NA,NA,Joachim Löw,NA,Miroslav Klose · 20|Lukas Podolski · 32|Thomas Müller · 67|Thomas Müller · 70,40510,"Toyota Stadium, Bloemfontein",NA,2010-06-27,NA,NA,Round of 16,South Africa,2010,Y,1
Argentina,3,NA,NA,Diego Maradona,NA,Carlos Tevez · 26|Gonzalo Higuaín · 33|Carlos Tevez · 52,84377,"Soccer City, Johannesburg",NA,2010-06-27,NA,NA,Round of 16,South Africa,2010,Y,1
Uruguay,2,NA,NA,Óscar Tabárez,NA,Luis Suárez · 8|Luis Suárez · 80,30597,"Nelson Mandela Bay Stadium, Port Elizabeth",NA,2010-06-26,NA,NA,Round of 16,South Africa,2010,Y,1
United States,1,NA,NA,Bob Bradley,NA,Landon Donovan (P) · 62,34976,"Royal Bafokeng Stadium, Phokeng",NA,2010-06-26,NA,Required Extra Time,Round of 16,South Africa,2010,Y,0
Portugal,0,NA,NA,Carlos Queiroz,NA,NA,62712,"Moses Mabhida Stadium, Durban",NA,2010-06-25,NA,NA,Group stage,South Africa,2010,Y,0.5
Korea DPR,0,NA,NA,Kim Jong-hun,NA,NA,34763,"Mbombela Stadium, Nelspruit",NA,2010-06-25,NA,NA,Group stage,South Africa,2010,Y,0
Chile,1,NA,NA,Marcelo Bielsa,NA,Marco Estrada · 37|Rodrigo Millar · 47,41958,"Loftus Versfeld Stadium, Pretoria",NA,2010-06-25,NA,NA,Group stage,South Africa,2010,Y,0
Switzerland,0,NA,NA,Ottmar Hitzfeld,NA,NA,28042,"Toyota Stadium, Bloemfontein",NA,2010-06-25,NA,NA,Group stage,South Africa,2010,Y,0.5
Paraguay,0,NA,NA,Gerardo Martino,NA,NA,34850,"Peter Mokaba Stadium, Polokwane",NA,2010-06-24,NA,NA,Group stage,South Africa,2010,Y,0.5
Slovakia,3,NA,NA,Vladimír Weiss,NA,Róbert Vittek · 25|Róbert Vittek · 73|Kamil Kopúnek · 89,53412,"Emirates Airline Park, Johannesburg",NA,2010-06-24,NA,NA,Group stage,South Africa,2010,Y,1
Denmark,1,NA,NA,Morten Olsen,NA,Jon Dahl Tomasson · 81,27967,"Royal Bafokeng Stadium, Phokeng",NA,2010-06-24,NA,NA,Group stage,South Africa,2010,Y,0
Cameroon,1,NA,NA,Paul Le Guen,NA,Samuel Eto'o (P) · 65,63093,"Cape Town Stadium, Cape Town",NA,2010-06-24,NA,NA,Group stage,South Africa,2010,Y,0
Slovenia,0,NA,NA,Matjaž Kek,NA,NA,36893,"Nelson Mandela Bay Stadium, Port Elizabeth",NA,2010-06-23,NA,NA,Group stage,South Africa,2010,Y,0
United States,1,NA,NA,Bob Bradley,NA,Landon Donovan · 90+1,35827,"Loftus Versfeld Stadium, Pretoria",NA,2010-06-23,NA,NA,Group stage,South Africa,2010,Y,1
Ghana,0,NA,NA,Milovan Rajevac,NA,NA,83391,"Soccer City, Johannesburg",NA,2010-06-23,NA,NA,Group stage,South Africa,2010,Y,0
Australia,2,NA,NA,Pim Verbeek,NA,Tim Cahill · 69|Brett Holman · 73,37836,"Mbombela Stadium, Nelspruit",NA,2010-06-23,NA,NA,Group stage,South Africa,2010,Y,1
Mexico,0,NA,NA,Javier Aguirre,NA,NA,33425,"Royal Bafokeng Stadium, Phokeng",NA,2010-06-22,NA,NA,Group stage,South Africa,2010,Y,0
France,1,NA,NA,Raymond Domenech,NA,Yoann Gourcuff · 25|Florent Malouda · 70,39415,"Toyota Stadium, Bloemfontein",NA,2010-06-22,NA,NA,Group stage,South Africa,2010,Y,0
Nigeria,2,NA,NA,Lars Lagerbäck,NA,Kalu Uche · 12|Yakubu Aiyegbeni (P) · 69,61874,"Moses Mabhida Stadium, Durban",NA,2010-06-22,NA,NA,Group stage,South Africa,2010,Y,0.5
Greece,0,NA,NA,Otto Rehhagel,NA,NA,38891,"Peter Mokaba Stadium, Polokwane",NA,2010-06-22,NA,NA,Group stage,South Africa,2010,Y,0
Portugal,7,NA,NA,Carlos Queiroz,NA,Raul Meireles · 29|Simão Sabrosa · 53|Hugo Almeida · 56|Tiago Mendes · 60|Liédson · 81|Cristiano Ronaldo · 87|Tiago Mendes · 89,63644,"Cape Town Stadium, Cape Town",NA,2010-06-21,NA,NA,Group stage,South Africa,2010,Y,1
Chile,1,NA,NA,Marcelo Bielsa,NA,Mark González · 75,34872,"Nelson Mandela Bay Stadium, Port Elizabeth",NA,2010-06-21,NA,NA,Group stage,South Africa,2010,Y,1
Spain,2,NA,NA,Vicente del Bosque,NA,David Villa · 17|David Villa · 51,54386,"Emirates Airline Park, Johannesburg",NA,2010-06-21,NA,NA,Group stage,South Africa,2010,Y,1
Slovakia,0,NA,NA,Vladimír Weiss,NA,NA,26643,"Toyota Stadium, Bloemfontein",NA,2010-06-20,NA,NA,Group stage,South Africa,2010,Y,0
Italy,1,NA,NA,Marcello Lippi,NA,Vincenzo Iaquinta (P) · 29,38229,"Mbombela Stadium, Nelspruit",NA,2010-06-20,NA,NA,Group stage,South Africa,2010,Y,0.5
Brazil,3,NA,NA,Dunga,NA,Luís Fabiano · 25|Luís Fabiano · 50|Elano · 62|Kaká · 88,84455,"Soccer City, Johannesburg",NA,2010-06-20,NA,NA,Group stage,South Africa,2010,Y,1
Netherlands,1,NA,NA,Bert van Marwijk,NA,Wesley Sneijder · 53,62010,"Moses Mabhida Stadium, Durban",NA,2010-06-19,NA,NA,Group stage,South Africa,2010,Y,1
Ghana,1,NA,NA,Milovan Rajevac,NA,Asamoah Gyan (P) · 25,34812,"Royal Bafokeng Stadium, Phokeng",NA,2010-06-19,NA,NA,Group stage,South Africa,2010,Y,0.5
Cameroon,1,NA,NA,Paul Le Guen,NA,Samuel Eto'o · 10,38074,"Loftus Versfeld Stadium, Pretoria",NA,2010-06-19,NA,NA,Group stage,South Africa,2010,Y,0
